"time";"ft";"r Pr3.Vt";"i Pr3.Vt"
3.041e-07;1e+07;0.276451;0
3.044e-07;1e+07;0.300164;0
3.047e-07;1e+07;0.32346;0
3.05e-07;1e+07;0.346294;0
3.053e-07;1e+07;0.368635;0
3.056e-07;1e+07;0.390476;0
3.059e-07;1e+07;0.411834;0
3.062e-07;1e+07;0.432755;0
3.065e-07;1e+07;0.453306;0
3.068e-07;1e+07;0.473562;0
3.071e-07;1e+07;0.493607;0
3.074e-07;1e+07;0.513516;0
3.077e-07;1e+07;0.533357;0
3.08e-07;1e+07;0.553182;0
3.083e-07;1e+07;0.573028;0
3.086e-07;1e+07;0.592917;0
3.089e-07;1e+07;0.612853;0
3.092e-07;1e+07;0.632829;0
3.095e-07;1e+07;0.652821;0
3.098e-07;1e+07;0.6728;0
3.101e-07;1e+07;0.692725;0
3.104e-07;1e+07;0.712553;0
3.107e-07;1e+07;0.732238;0
3.11e-07;1e+07;0.751731;0
3.113e-07;1e+07;0.770989;0
3.116e-07;1e+07;0.789969;0
3.119e-07;1e+07;0.808637;0
3.122e-07;1e+07;0.826959;0
3.125e-07;1e+07;0.844913;0
3.128e-07;1e+07;0.862478;0
3.131e-07;1e+07;0.879643;0
3.134e-07;1e+07;0.896401;0
3.137e-07;1e+07;0.912748;0
3.14e-07;1e+07;0.928688;0
3.143e-07;1e+07;0.944225;0
3.146e-07;1e+07;0.959366;0
3.149e-07;1e+07;0.974119;0
3.152e-07;1e+07;0.988493;0
3.155e-07;1e+07;1.0025;0
3.158e-07;1e+07;1.01614;0
3.161e-07;1e+07;1.02942;0
3.164e-07;1e+07;1.04235;0
3.167e-07;1e+07;1.05492;0
3.17e-07;1e+07;1.06715;0
3.173e-07;1e+07;1.07902;0
3.176e-07;1e+07;1.09054;0
3.179e-07;1e+07;1.1017;0
3.182e-07;1e+07;1.11248;0
3.185e-07;1e+07;1.1229;0
3.188e-07;1e+07;1.13292;0
3.191e-07;1e+07;1.14256;0
3.194e-07;1e+07;1.1518;0
3.197e-07;1e+07;1.16063;0
3.2e-07;1e+07;1.16904;0
2e-07;1.5e+07;-0.250943;0
2.003e-07;1.5e+07;-0.216137;0
2.006e-07;1.5e+07;-0.181195;0
2.009e-07;1.5e+07;-0.146117;0
2.012e-07;1.5e+07;-0.110874;0
2.015e-07;1.5e+07;-0.0753987;0
2.018e-07;1.5e+07;-0.0396115;0
2.021e-07;1.5e+07;-0.0034471;0
2.024e-07;1.5e+07;0.0331154;0
2.027e-07;1.5e+07;0.0700407;0
2.03e-07;1.5e+07;0.107244;0
2.033e-07;1.5e+07;0.144601;0
2.036e-07;1.5e+07;0.181955;0
2.039e-07;1.5e+07;0.219126;0
2.042e-07;1.5e+07;0.255912;0
2.045e-07;1.5e+07;0.292103;0
2.048e-07;1.5e+07;0.327511;0
2.051e-07;1.5e+07;0.362;0
2.054e-07;1.5e+07;0.395514;0
2.057e-07;1.5e+07;0.428075;0
2.06e-07;1.5e+07;0.459766;0
2.063e-07;1.5e+07;0.490696;0
2.066e-07;1.5e+07;0.520985;0
2.069e-07;1.5e+07;0.550746;0
2.072e-07;1.5e+07;0.580081;0
2.075e-07;1.5e+07;0.609073;0
2.078e-07;1.5e+07;0.637788;0
2.081e-07;1.5e+07;0.666265;0
2.084e-07;1.5e+07;0.694523;0
2.087e-07;1.5e+07;0.72256;0
2.09e-07;1.5e+07;0.750352;0
2.093e-07;1.5e+07;0.777859;0
2.096e-07;1.5e+07;0.805027;0
